date,avg_sentiment
2017-01-09,0.53985476
2017-01-10,0.59183043
2017-01-11,0.6005229
2017-01-12,0.56216145
2017-01-13,0.5783163
2017-01-14,0.6703944
2017-01-15,0.7541193
2017-01-16,0.689105
2017-01-17,0.6176905
2017-01-18,0.5922849
2017-01-19,0.4107186
2017-01-20,0.4835568
2017-01-21,0.67430454
2017-01-22,0.6133296
2017-01-23,0.54873496
2017-01-24,0.5452332
2017-01-25,0.5411356
2017-01-26,0.5988162
2017-01-27,0.6304134
2017-01-28,0.7258868
2017-01-29,0.679803
2017-01-30,0.5861094
2017-01-31,0.5028598
2017-02-01,0.55567795
2017-02-02,0.5217757
2017-02-03,0.61371344
2017-02-04,0.6963754
2017-02-05,0.5937755
2017-02-06,0.4835831
2017-02-07,0.52173376
2017-02-08,0.5540245
2017-02-09,0.5423668
2017-02-10,0.58680725
2017-02-11,0.7320647
2017-02-12,0.6869644
2017-02-13,0.5211242
2017-02-14,0.5051919
2017-02-15,0.5321017
2017-02-16,0.54444337
2017-02-17,0.5695197
2017-02-18,0.5953486
2017-02-19,0.71653664
2017-02-20,0.61967295
2017-02-21,0.5433046
2017-02-22,0.5086623
2017-02-23,0.5109712
2017-02-24,0.5485816
2017-02-25,0.68140817
2017-02-26,0.66510886
2017-02-27,0.47678
2017-02-28,0.54523194
2017-03-01,0.54959834
2017-03-02,0.6027759
2017-03-03,0.6080355
2017-03-04,0.64535105
2017-03-05,0.71782297
2017-03-06,0.6356207
2017-03-07,0.5822918
2017-03-08,0.6096272
2017-03-09,0.6148394
2017-03-10,0.5937652
2017-03-11,0.64594966
2017-03-12,0.68322474
2017-03-13,0.5756255
2017-03-14,0.56417066
2017-03-15,0.5381646
2017-03-16,0.555088
2017-03-17,0.5639225
2017-03-18,0.6740371
2017-03-19,0.5682094
2017-03-20,0.5215279
2017-03-21,0.5441999
2017-03-22,0.562925
2017-03-23,0.5833295
2017-03-24,0.58011585
2017-03-25,0.59122026
2017-03-26,0.5834403
2017-03-27,0.5455496
2017-03-28,0.51693153
2017-03-29,0.60035026
2017-03-30,0.5887092
2017-03-31,0.6042706
2017-04-01,0.6509433
2017-04-02,0.41474995
2017-04-03,0.4273629
2017-04-04,0.50042397
2017-04-05,0.57052046
2017-04-06,0.49729198
2017-04-07,0.55236727
2017-04-08,0.6842053
2017-04-09,0.64575744
2017-04-10,0.44474453
2017-04-11,0.5622663
2017-04-12,0.5845595
2017-04-13,0.5857435
2017-04-14,0.6567753
2017-04-15,0.6032692
2017-04-16,0.647109
2017-04-17,0.5746087
2017-04-18,0.5455893
2017-04-19,0.5581735
2017-04-20,0.55672705
2017-04-21,0.58030593
2017-04-22,0.62801504
2017-04-23,0.65071553
2017-04-24,0.5327215
2017-04-25,0.56624496
2017-04-26,0.5047136
2017-04-27,0.608104
2017-04-28,0.6376424
2017-04-29,0.64139634
2017-04-30,0.56226134
2017-05-01,0.5088705
2017-05-02,0.6059348
2017-05-03,0.534558
2017-05-04,0.5672912
2017-05-05,0.557632
2017-05-06,0.666381
2017-05-07,0.62013
2017-05-08,0.5213875
2017-05-09,0.56598
2017-05-10,0.56401825
2017-05-11,0.62746406
2017-05-12,0.624542
2017-05-13,0.62087464
2017-05-14,0.6992821
2017-05-15,0.55606455
2017-05-16,0.5823813
2017-05-17,0.5958493
2017-05-18,0.540322
2017-05-19,0.6239452
2017-05-20,0.60456973
2017-05-21,0.70661014
2017-05-22,0.5831037
2017-05-23,0.5866855
2017-05-24,0.5270436
2017-05-25,0.5335434
2017-05-26,0.59542716
2017-05-27,0.62311715
2017-05-28,0.6985761
2017-05-29,0.6279106
2017-05-30,0.5308222
2017-05-31,0.53625214
2017-06-01,0.5432855
2017-06-02,0.61233217
2017-06-03,0.6470812
2017-06-04,0.6278447
2017-06-05,0.5614174
2017-06-06,0.5326968
2017-06-07,0.6202413
2017-06-08,0.57074493
2017-06-09,0.56498265
2017-06-10,0.6493603
2017-06-11,0.72977626
2017-06-12,0.56948507
2017-06-13,0.5022559
2017-06-14,0.5412819
2017-06-15,0.5462875
2017-06-16,0.641332
2017-06-17,0.64603406
2017-06-18,0.7116034
2017-06-19,0.5583322
2017-06-20,0.5328393
2017-06-21,0.5675663
2017-06-22,0.55854094
2017-06-23,0.6024824
2017-06-24,0.701012
2017-06-25,0.7115468
2017-06-26,0.56879365
2017-06-27,0.5959428
2017-06-28,0.6651741
2017-06-29,0.6343786
2017-06-30,0.6596237
2017-07-01,0.6553754
2017-07-02,0.7008724
2017-07-03,0.53008956
2017-07-04,0.60719645
2017-07-05,0.4842981
2017-07-06,0.5037977
2017-07-07,0.5338813
2017-07-08,0.5882316
2017-07-09,0.6416332
2017-07-10,0.5640838
2017-07-11,0.50998735
2017-07-12,0.5625542
2017-07-13,0.5920878
2017-07-14,0.5854002
2017-07-15,0.7033281
2017-07-16,0.63494456
2017-07-17,0.5967532
2017-07-18,0.55723643
2017-07-19,0.6211486
2017-07-20,0.6373726
2017-07-21,0.62810266
2017-07-22,0.71839505
2017-07-23,0.6701592
2017-07-24,0.5301261
2017-07-25,0.56625783
2017-07-26,0.5831938
2017-07-27,0.5778198
2017-07-28,0.6239147
2017-07-29,0.66392803
2017-07-30,0.64370954
2017-07-31,0.5909769
2017-08-01,0.6231428
2017-08-02,0.4872315
2017-08-03,0.51933545
2017-08-04,0.47850022
2017-08-05,0.6717134
2017-08-06,0.6237248
2017-08-07,0.5550763
2017-08-08,0.53879863
2017-08-09,0.6942635
2017-08-10,0.59109247
2017-08-11,0.5945852
2017-08-12,0.61404693
2017-08-13,0.65627974
2017-08-14,0.54962635
2017-08-15,0.5706084
2017-08-16,0.55326533
2017-08-17,0.59594697
2017-08-18,0.54130816
2017-08-19,0.6339218
2017-08-20,0.6614443
2017-08-21,0.55716807
2017-08-22,0.5894335
2017-08-23,0.5195968
2017-08-24,0.6709665
2017-08-25,0.6573539
2017-08-26,0.6768879
2017-08-27,0.67341787
2017-08-28,0.5671953
2017-08-29,0.5882659
2017-08-30,0.59681505
2017-08-31,0.52335244
2017-09-01,0.5485216
2017-09-02,0.7223167
2017-09-03,0.71701354
2017-09-04,0.7335182
2017-09-05,0.5946381
2017-09-06,0.5997525
2017-09-07,0.63608986
2017-09-08,0.59649473
2017-09-09,0.6807383
2017-09-10,0.62823176
2017-09-11,0.5205234
2017-09-12,0.5453839
2017-09-13,0.5272955
2017-09-14,0.5609555
2017-09-15,0.53760195
2017-09-16,0.6677158
2017-09-17,0.72758985
2017-09-18,0.5415709
2017-09-19,0.51710147
2017-09-20,0.52073634
2017-09-21,0.6068872
2017-09-22,0.49528867
2017-09-23,0.6755554
2017-09-24,0.64039963
2017-09-25,0.5573041
2017-09-26,0.56327474
2017-09-27,0.50213116
2017-09-28,0.63139296
2017-09-29,0.60512036
2017-09-30,0.7284839
2017-10-01,0.71287656
2017-10-02,0.5502976
2017-10-03,0.52611476
2017-10-04,0.5768734
2017-10-05,0.6297013
2017-10-06,0.6132097
2017-10-07,0.69625545
2017-10-08,0.6916849
2017-10-09,0.5841066
2017-10-10,0.48449764
2017-10-11,0.6297519
2017-10-12,0.6755435
2017-10-13,0.66258955
2017-10-14,0.59443825
2017-10-15,0.6902823
2017-10-16,0.6207615
2017-10-17,0.57746446
2017-10-18,0.51618975
2017-10-19,0.5977631
2017-10-20,0.62294906
2017-10-21,0.6968468
2017-10-22,0.5683026
2017-10-23,0.54533696
2017-10-24,0.62936103
2017-10-25,0.54091465
2017-10-26,0.6098127
2017-10-27,0.53551304
2017-10-28,0.68380916
2017-10-29,0.68598825
2017-10-30,0.6311384
2017-10-31,0.5631918
2017-11-01,0.5500555
2017-11-02,0.5393356
2017-11-03,0.6025975
2017-11-04,0.58415943
2017-11-05,0.68393654
2017-11-06,0.57122415
2017-11-07,0.60094416
2017-11-08,0.65676475
2017-11-09,0.56428456
2017-11-10,0.6339182
2017-11-11,0.7165807
2017-11-12,0.69549966
2017-11-13,0.5481577
2017-11-14,0.57145303
2017-11-15,0.6313449
2017-11-16,0.62250686
2017-11-17,0.6057553
2017-11-18,0.65636146
2017-11-19,0.68630624
2017-11-20,0.5955332
2017-11-21,0.5356162
2017-11-22,0.61502063
2017-11-23,0.6351858
2017-11-24,0.6050054
2017-11-25,0.68335027
2017-11-26,0.7222449
2017-11-27,0.6122321
2017-11-28,0.56124866
2017-11-29,0.528178
2017-11-30,0.57555807
2017-12-01,0.56249034
2017-12-02,0.72348946
2017-12-03,0.71947014
2017-12-04,0.629491
2017-12-05,0.6095833
2017-12-06,0.5567284
2017-12-07,0.6590637
2017-12-08,0.6260331
2017-12-09,0.7184437
2017-12-10,0.7163814
2017-12-11,0.5641932
2017-12-12,0.509643
2017-12-13,0.5602391
2017-12-14,0.6010898
2017-12-15,0.58017814
2017-12-16,0.6880867
2017-12-17,0.7195545
2017-12-18,0.5743611
2017-12-19,0.59910965
2017-12-20,0.6197587
2017-12-21,0.58284336
2017-12-22,0.6858751
2017-12-23,0.68560654
2017-12-24,0.729388
2017-12-25,0.76184565
2017-12-26,0.65931237
2017-12-27,0.5315105
2017-12-28,0.6365016
2017-12-29,0.6017451
2017-12-30,0.7021292
2017-12-31,0.68604785
2018-01-01,0.68563884
2018-01-02,0.50450915
2018-01-03,0.4715416
2018-01-04,0.53022623
2018-01-05,0.58338296
2018-01-06,0.66686594
2018-01-07,0.60750324
2018-01-08,0.54554987
2018-01-09,0.5374698
2018-01-10,0.59327185
2018-01-11,0.54301536
2018-01-12,0.6133789
2018-01-13,0.6937778
2018-01-14,0.6790374
2018-01-15,0.6224362
2018-01-16,0.49985018
2018-01-17,0.55105877
2018-01-18,0.55605507
2018-01-19,0.5932055
2018-01-20,0.6271465
2018-01-21,0.6640831
2018-01-22,0.54367036
2018-01-23,0.57446706
2018-01-24,0.57108545
2018-01-25,0.57834893
2018-01-26,0.52584356
2018-01-27,0.6659903
2018-01-28,0.696374
2018-01-29,0.6088585
2018-01-30,0.66328794
2018-01-31,0.54069644
2018-02-01,0.5317696
2018-02-02,0.5847948
2018-02-03,0.62187487
2018-02-04,0.685713
2018-02-05,0.6202773
2018-02-06,0.6311927
2018-02-07,0.4868638
2018-02-08,0.56160957
2018-02-09,0.5816731
2018-02-10,0.62156045
2018-02-11,0.6260623
2018-02-12,0.60829955
2018-02-13,0.5914726
2018-02-14,0.5746143
2018-02-15,0.55099994
2018-02-16,0.5353166
2018-02-17,0.71208924
2018-02-18,0.63660353
2018-02-19,0.54701513
2018-02-20,0.5410053
2018-02-21,0.59133726
2018-02-22,0.4990644
2018-02-23,0.5206011
2018-02-24,0.55321515
2018-02-25,0.5587283
2018-02-26,0.51631397
2018-02-27,0.59844404
2018-02-28,0.5322115
2018-03-01,0.54445815
2018-03-02,0.549115
2018-03-03,0.5269698
2018-03-04,0.55625427
2018-03-05,0.5390406
2018-03-06,0.6591043
2018-03-07,0.55995727
2018-03-08,0.57190883
2018-03-09,0.53837603
2018-03-10,0.60191065
2018-03-11,0.6459814
2018-03-12,0.50367963
2018-03-13,0.56953883
2018-03-14,0.5210136
2018-03-15,0.5588212
2018-03-16,0.6270733
2018-03-17,0.6289315
